Date,Time,Open,High,Low,Close,Volume
2021.07.19,04:00,15423.4,15452.7,15413.0,15425.0,9027
2021.07.19,08:00,15425.3,15450.7,15239.3,15256.3,85897
2021.07.19,12:00,15256.3,15276.0,15090.0,15126.3,110840
2021.07.19,16:00,15126.3,15160.0,15045.5,15090.0,190700
2021.07.19,20:00,15089.9,15133.7,15071.0,15132.0,51075
2021.07.20,00:00,15174.0,15196.4,15159.0,15191.2,2055
2021.07.20,04:00,15190.7,15224.7,15111.3,15138.7,12334
2021.07.20,08:00,15138.7,15301.0,15131.2,15221.3,94608
2021.07.20,12:00,15221.3,15233.0,15109.0,15135.3,91895
2021.07.20,16:00,15135.7,15281.0,15091.5,15259.5,108917
2021.07.20,20:00,15260.4,15288.7,15231.5,15258.9,24791
2021.07.21,00:00,15271.6,15311.0,15266.0,15303.3,1829
2021.07.21,04:00,15303.3,15305.0,15211.7,15211.7,10811
2021.07.21,08:00,15211.7,15365.3,15196.3,15338.3,93618
2021.07.21,12:00,15338.3,15369.0,15264.0,15361.0,67722
2021.07.21,16:00,15361.0,15445.0,15355.0,15429.5,66887
2021.07.21,20:00,15430.4,15465.4,15427.5,15454.5,13180
2021.07.22,00:00,15462.0,15463.7,15438.7,15441.3,833
2021.07.22,04:00,15441.2,15474.7,15438.0,15462.8,2878
2021.07.22,08:00,15462.5,15565.0,15457.0,15554.3,51903
2021.07.22,12:00,15554.0,15581.0,15506.0,15524.3,38642
2021.07.22,16:00,15524.7,15541.5,15471.3,15530.9,82825
2021.07.22,20:00,15530.5,15553.1,15521.9,15527.7,12567
2021.07.23,00:00,15554.0,15572.7,15545.8,15566.0,628
2021.07.23,04:00,15565.9,15574.0,15543.3,15554.3,2951
2021.07.23,08:00,15554.8,15617.3,15544.5,15604.3,44509
2021.07.23,12:00,15604.7,15673.5,15601.3,15662.3,27685
2021.07.23,16:00,15662.3,15680.0,15643.0,15671.5,45695
2021.07.23,20:00,15672.4,15691.7,15659.5,15661.5,7868
2021.07.26,00:00,15649.0,15649.3,15609.7,15624.0,1502
2021.07.26,04:00,15624.4,15628.7,15588.7,15597.0,6658
2021.07.26,08:00,15597.3,15606.0,15543.3,15568.0,55057
2021.07.26,12:00,15568.0,15637.0,15565.0,15607.3,33495
2021.07.26,16:00,15607.3,15642.0,15595.0,15602.7,47873
2021.07.26,20:00,15603.1,15635.1,15600.5,15626.0,10023
2021.07.27,00:00,15618.8,15633.5,15605.0,15612.7,919
2021.07.27,04:00,15612.8,15623.2,15589.7,15609.0,5972
2021.07.27,08:00,15609.4,15610.0,15420.0,15489.3,78613
2021.07.27,12:00,15489.3,15587.0,15476.3,15547.0,50366
2021.07.27,16:00,15547.3,15559.0,15495.5,15503.7,102448
2021.07.27,20:00,15503.0,15558.9,15476.5,15550.9,24600
2021.07.28,00:00,15555.0,15578.3,15552.0,15576.0,1489
2021.07.28,04:00,15575.7,15588.0,15496.8,15503.0,13036
2021.07.28,08:00,15502.8,15570.0,15484.0,15551.0,61047
2021.07.28,12:00,15551.0,15574.7,15524.3,15553.3,40447
2021.07.28,16:00,15553.3,15579.7,15530.0,15561.7,59758
2021.07.28,20:00,15561.0,15577.7,15518.8,15550.7,25282
2021.07.29,00:00,15540.0,15554.0,15535.0,15550.7,1453
2021.07.29,04:00,15551.7,15552.0,15506.7,15532.8,8070
2021.07.29,08:00,15532.9,15613.0,15528.7,15595.3,47895
2021.07.29,12:00,15595.7,15661.0,15594.0,15633.0,32631
2021.07.29,16:00,15633.0,15657.5,15616.3,15630.7,44314
2021.07.29,20:00,15630.0,15635.7,15606.5,15613.7,7955
2021.07.30,00:00,15561.7,15583.0,15540.7,15550.8,3792
2021.07.30,04:00,15550.9,15561.5,15514.0,15520.9,9476
2021.07.30,08:00,15520.3,15544.7,15437.3,15511.0,64985
2021.07.30,12:00,15510.5,15555.3,15468.0,15547.3,47245
2021.07.30,16:00,15547.3,15612.0,15535.0,15556.6,54900
2021.07.30,20:00,15556.5,15561.3,15530.1,15543.4,16077
2021.08.02,00:00,15543.6,15627.0,15543.6,15620.6,2107
2021.08.02,04:00,15621.0,15645.6,15601.6,15641.5,7734
2021.08.02,08:00,15640.9,15705.2,15571.2,15603.5,53045
2021.08.02,12:00,15603.9,15604.5,15509.5,15572.2,48941
2021.08.02,16:00,15571.7,15617.2,15523.2,15547.7,66209
2021.08.02,20:00,15548.1,15560.9,15510.7,15514.1,15855
2021.08.03,00:00,15566.2,15581.9,15560.2,15571.4,1521
2021.08.03,04:00,15570.7,15573.2,15524.9,15550.9,7805
2021.08.03,08:00,15551.4,15585.6,15515.2,15584.6,59099
2021.08.03,12:00,15584.1,15605.9,15538.6,15553.6,35873
2021.08.03,16:00,15553.1,15582.3,15491.1,15575.3,81483
2021.08.03,20:00,15574.6,15594.3,15574.1,15581.5,14294
2021.08.04,00:00,15555.9,15567.9,15551.1,15562.9,1025
2021.08.04,04:00,15563.4,15593.3,15555.3,15592.6,4455
2021.08.04,08:00,15592.5,15682.3,15586.4,15648.6,37847
2021.08.04,12:00,15649.0,15692.6,15595.8,15615.6,30662
2021.08.04,16:00,15615.6,15711.3,15604.3,15681.2,52023
2021.08.04,20:00,15680.8,15696.0,15666.8,15671.3,10047
2021.08.05,00:00,15671.6,15710.3,15671.6,15703.6,846
2021.08.05,04:00,15703.6,15712.3,15686.3,15688.3,3446
2021.08.05,08:00,15688.2,15727.1,15657.8,15722.1,36986
2021.08.05,12:00,15721.6,15727.1,15679.1,15712.4,28023
2021.08.05,16:00,15712.4,15751.8,15706.1,15737.8,34081
2021.08.05,20:00,15737.6,15755.2,15734.1,15749.1,8149
2021.08.06,00:00,15739.1,15745.1,15732.3,15733.4,529
2021.08.06,04:00,15733.4,15747.1,15720.8,15741.8,3343
2021.08.06,08:00,15742.2,15785.4,15735.1,15767.8,30378
2021.08.06,12:00,15767.8,15785.5,15745.2,15783.8,29717
2021.08.06,16:00,15784.2,15805.5,15754.0,15767.4,44883
2021.08.06,20:00,15766.7,15770.4,15750.0,15769.3,6306
2021.08.09,00:00,15718.3,15725.5,15711.8,15721.2,820
2021.08.09,04:00,15722.2,15744.2,15713.5,15741.5,3690
2021.08.09,08:00,15741.4,15798.5,15707.3,15748.8,36101
2021.08.09,12:00,15749.2,15753.5,15720.5,15748.8,20465
2021.08.09,16:00,15749.2,15761.5,15694.5,15752.2,35587
2021.08.09,20:00,15752.6,15765.2,15746.0,15760.0,6403
2021.08.10,00:00,15754.5,15774.5,15751.0,15773.5,1380
2021.08.10,04:00,15773.4,15774.5,15717.2,15741.5,4673
2021.08.10,08:00,15741.4,15786.0,15730.8,15759.8,26075
2021.08.10,12:00,15759.8,15781.2,15741.5,15781.0,15068
2021.08.10,16:00,15780.8,15799.5,15764.0,15773.0,30409
2021.08.10,20:00,15773.9,15789.2,15762.0,15784.3,8951
2021.08.11,00:00,15783.6,15793.6,15779.2,15780.5,1097
2021.08.11,04:00,15779.8,15794.9,15771.2,15774.5,4252
2021.08.11,08:00,15774.4,15797.0,15721.5,15777.5,30984
2021.08.11,12:00,15777.5,15811.5,15753.8,15794.8,27816
2021.08.11,16:00,15795.2,15888.0,15794.8,15842.5,42249
2021.08.11,20:00,15842.4,15857.2,15832.5,15857.2,7804
2021.08.12,00:00,15858.7,15862.7,15839.2,15842.5,1226
2021.08.12,04:00,15841.8,15854.5,15838.5,15842.3,3352
2021.08.12,08:00,15842.4,15854.5,15812.3,15850.5,25130
2021.08.12,12:00,15850.5,15922.0,15850.5,15916.0,21025
2021.08.12,16:00,15916.0,15966.0,15915.0,15948.9,34711
2021.08.12,20:00,15948.5,15974.7,15943.5,15953.7,5345
2021.08.13,00:00,15947.5,15956.0,15943.7,15949.3,1423
2021.08.13,04:00,15949.8,15954.7,15933.7,15948.0,5776
2021.08.13,08:00,15948.4,16011.0,15927.5,16010.0,22315
2021.08.13,12:00,16010.0,16032.0,15976.0,15988.0,22941
2021.08.13,16:00,15988.0,15993.0,15957.0,15977.7,26882
2021.08.13,20:00,15977.5,15986.9,15966.5,15985.7,5614
2021.08.16,00:00,15926.0,15941.0,15912.5,15922.8,1620
2021.08.16,04:00,15923.4,15932.7,15892.5,15915.0,6275
